ItemLabels,1/1/2016,2/1/2016,3/1/2016,4/1/2016,5/1/2016,6/1/2016,7/1/2016,8/1/2016,9/1/2016,10/1/2016,11/1/2016,12/1/2016,1/1/2017,2/1/2017,3/1/2017,4/1/2017,5/1/2017,6/1/2017,7/1/2017,8/1/2017,9/1/2017,10/1/2017,11/1/2017,12/1/2017,1/1/2018,2/1/2018,3/1/2018,4/1/2018,5/1/2018,6/1/2018,7/1/2018,8/1/2018,9/1/2018,10/1/2018,11/1/2018,12/1/2018,1/1/2019,2/1/2019,3/1/2019,4/1/2019,5/1/2019,6/1/2019,7/1/2019,8/1/2019,9/1/2019,10/1/2019,11/1/2019,12/1/2019,1/1/2020,2/1/2020,3/1/2020,4/1/2020
Irish potato BENUE,171.3,175,172,173.67,174.55,174.14,175.83,181.48,175.44,188.5,180.3,180.73,188.21,187.69,186.06,187.3,192.58,191.26,197.18,196.87,182.3,165.03,183.48,180.32,203.27,198,216.41,299.11,307.19,307.68,284.57,289.21,266.92,256.81,344.76,284.57,268.49,275.03,287.68,305.89,297.36,218.24,209.46,255.64,237.47,260.18,307.89,275.24,286.8,261.86,302.99,268.75
Mackerel : frozen BENUE,817.42,878.64,800,802.64,805.28,807.92,810.56,813.2,815.84,818.48,821.12,788.15,750,738.53,943.3,887.29,875.61,841.36,840,858.64,849.19,807.94,745.2,736.21,838.1,713.97,904.47,815.03,815.56,916.41,908.33,1000,1075,1000,1075,991.67,1040,1087.5,1030.38,1150,1129.23,1212,1200,1155.78,1158.56,1182.88,1177.47,1154.65,1156.9,1102.59,1090.77,1055.25
Maize grain white sold loose BENUE,80.12,79.74,93.19,89.96,103.17,112.19,131.16,146.65,160.69,143.4,133.85,146.14,159.99,177.28,176.71,169.26,190.06,195.39,193.16,189.55,160.99,195.68,195.68,195.55,188.71,190,140.58,164.98,183.64,195.19,192.67,193.16,195.58,175.14,149.06,127.43,116.9,120.57,123.12,145.87,129.69,143.7,123.59,129.59,136.35,131.13,136.73,149.63,122.59,122.43,131.32,131.77
Maize grain yellow sold loose BENUE,77.24,80.01,92.76,89.64,98.94,102.93,113.25,125.47,139.98,142.03,137.18,152.69,174.14,180.82,166.81,191.07,204.67,204.76,199.4,199.73,163.93,205.06,205.06,205.3,227.56,200,173.75,170.1,191.32,209.87,193.83,206.42,197.86,184.26,144.31,141.14,119.78,128.65,130.51,153.92,133.5,146.53,125.14,131.52,139.17,130.87,132.12,125.74,120.83,118.76,128.58,121.06
Mudfish (aro) fresh BENUE,694.12,680,941.67,925.75,803.57,825,828.57,887.5,857.14,931.62,803.57,889.34,903,836.36,1035.71,908.33,1100,1100,1052.63,966.67,967.25,1040.74,1085.85,1085.06,1175,1200,1050,940.74,1017.05,1157.35,1166.67,1200,1300,1421.57,1375,1300,1275,1250,1252.3,1300,1343.4,1275,1233.33,1192.1,1151.28,1210,1131.78,1150,1146.12,1106.26,1138.46,1053.85
Mudfish : dried BENUE,1254.11,1250,1571.97,1804.92,1306.49,2053.03,1704.55,1685.71,1347.4,1820.51,1524.48,2200,2070.55,2428.57,2435.06,2528.57,2650,2666.67,2658.33,2270.21,2271.57,2233.39,2255.32,2214.4,1995.24,2124.06,1917.01,1953.64,1908,1830.25,1905.65,1915.24,1818.18,1884.62,1922.79,1605.65,1562.39,1566.38,1587.02,1608.92,1636.67,1589.5,1536.11,1550.3,1494.16,1515.65,1582.43,1557.04,1603.94,1580.95,1567.59,1546.21
Onion bulb BENUE,222.85,246.56,241.2,256.58,254.57,261.83,230.84,231.15,233.16,240.63,265.23,236.19,294.16,226.04,220.15,179.41,173.52,204.92,235.65,242.22,241.38,201.29,199.18,201.01,224.29,218.65,201.31,225.88,218.91,234.54,288.83,286.42,258.46,223.06,257.4,201.64,250.66,274.6,245.39,286.36,266.67,259.64,241.67,238.14,200.71,207.14,226.76,206.31,200.66,216.37,203.87,158.65
"Palm oil: 1 bottle,specify bottle BENUE",288.57,319.77,359.16,340.94,350.16,343.99,359.99,410,470,450.21,475,450,472.13,485,470.33,440.55,501.07,529.52,551.52,576.59,467.91,530.31,530.31,530.14,551.67,560,529.82,510.83,535.83,525.83,509.52,522.81,591.11,533.33,533.33,509.52,514.78,524.44,515.83,496.41,457.78,491.67,461.54,462.5,485.71,466.67,474.07,488.89,437.22,442.22,491.76,496.3
Plantain(ripe) BENUE,192.63,180.73,195.12,152.39,170.83,159.3,164.41,173.47,152.19,170.4,198.31,201.23,200,207.38,209.12,218.8,218.35,229.61,244.77,253.23,196.09,229.95,210.19,215.12,316.67,237.92,242.7,262.1,270.34,249.2,253.09,288.47,274.07,251.59,254.73,205.07,224.09,257.89,261.37,279.43,254.29,268.18,251.23,276.27,267.93,277.44,208.51,228.53,256.82,280.12,322.69,255.65
Plantain(unripe) BENUE,231.69,183.78,156.76,146.14,132.58,148.51,150.43,142.72,132.26,149.53,153.66,172.63,168.78,190.58,201.42,205.36,213.55,218.49,201.38,226.35,174.37,218.81,240.27,237.24,275.13,240.86,300.64,285.88,282.97,308.68,313.64,297.92,270,239.61,230.67,209.55,200.17,237.64,242.92,254.63,223.08,298.02,265.59,278.11,261.34,256.46,282.22,292.86,250.97,259.55,255.08,231.26
Rice agric sold loose BENUE,193.55,193.55,213.81,200.35,218.75,258.06,283.48,322.58,312.5,294.82,312.5,300.56,301.84,311.43,310,295.16,300.14,319.44,326.67,366.67,366.93,266.67,255.16,256.67,243.33,300,300,295.16,305,312.95,316.67,326.92,408.46,371.26,378.06,316.67,333.33,336.96,315.86,307.78,306.67,290.32,293.33,305,311.83,315.11,403.55,382.6,381.18,383.81,333.33,369.35
Rice local sold loose BENUE,153.75,147.18,181.68,183.6,188.19,235.42,275.76,285.83,298.58,277.69,289.96,300.25,272.71,283.97,297.13,303.15,335.91,358,338.89,285.96,297.86,283.04,257.31,266.8,232.78,241.77,243.3,252.32,297.86,265.75,256.45,260.76,253.07,260.12,278.17,256.45,303.7,304.8,300.44,294.08,279.14,259.78,290.95,286.96,307.11,312.42,349.5,348.22,346.11,351.48,296.3,297.4
Rice Medium Grained BENUE,161.29,161.29,200,161.29,187.5,225.81,281.25,258.06,281.25,292.8,281.25,258.06,303.72,261.44,303.33,259.75,358.33,383.33,365.98,333.33,347.56,266.67,253,244.87,238.33,246.67,266.67,259.75,274.56,256.77,258.38,244.3,268.53,250,257.41,258.38,300,318.06,306.37,295.5,282.37,258.06,266.67,266.66,315.7,356.67,408.33,392.58,392.16,400.11,400,383.33
"Rice,imported high quality sold loose BENUE",221,250.88,256.13,255.86,271.44,318.28,361.83,362.67,381.43,371.45,384.72,382.26,390.43,422.66,420.34,407.16,430.01,488.81,469.8,402.92,407.14,368.26,355.49,353.35,327.78,359.96,351.9,407.16,407.14,397.26,394.37,381.36,374.08,385.34,398.56,333.07,348.72,352.31,351.58,379.91,381.69,377.63,387.08,364.79,375.47,402.93,482.39,480.98,480.41,474.53,472.68,449.25
Sweet potato BENUE,101.13,100,102.48,109.83,107.98,107.64,107.76,106.67,108.38,103.84,118.23,112.5,110.05,116.31,111.3,118.51,117.4,117.98,110.67,115.16,110.75,95.18,99.54,99.92,77.78,85.87,86.46,105.55,135.21,121.99,122.05,124.57,138.19,122.25,139.69,103.14,134.52,148.65,135.36,155.7,138.15,135.81,134.44,146.48,159.6,171.36,180.59,210.4,230.67,202.9,211.98,183.97
Tilapia fish (epiya) fresh BENUE,650,650,690.2,652.5,636.36,660,658.18,651.43,636.36,676.53,663.18,664.11,640.79,657.14,666.67,650,654.36,660.77,665,650.29,623.33,650.72,650.72,650,720,886.6,800,825.67,815,714.29,766.67,800,840.74,825,926.32,800,850.53,905,918.18,1083.33,1054.55,983.33,970,1005,959.72,1000.43,1060.61,1050,1030,1003.08,985,977.27
Titus:frozen BENUE,520.24,535,525.88,544.2,521.34,529.98,522.81,537,532.95,533.94,535.6,533.34,531.3,558.28,560.05,531.66,538.86,543.26,533.29,525.34,525.11,550.79,600.52,600.9,700,822.5,819.05,858.46,838.64,797.06,802,825.29,827.16,876.3,1071.1,938.57,1000.53,1071.1,1062.08,1155.63,1121.47,1081.45,1050.05,1088.33,1100.48,1152.08,1180,1155.88,1157.55,1096.87,1124.62,1099.81
Tomato BENUE,215.55,240.12,250.27,211.16,222.22,233.34,258.03,244.07,238.82,275.87,234.42,251.28,291.78,290.32,278.96,270.24,380.43,397.62,380.64,323.23,280.07,203.42,254.61,242.69,235.24,250.77,236.91,276.04,262.26,251.88,307.14,317.6,313.64,308.58,287.11,245.53,275.68,306.59,284.07,285.21,292.06,275.76,253.46,263.98,278.19,252.15,211.35,226.6,230.19,197.87,215.98,219.1
"Vegetable oil:1 bottle,specify bottle BENUE",300,337.22,317.77,318.21,312.5,319.52,321.33,334.66,332.22,377.71,382.77,358.33,354.19,398.33,402.22,400.74,429.4,473.87,433.33,453.33,380.72,474.58,474.58,470,525,550.32,600,582.42,604.76,597.27,569.7,540.83,604.76,588.15,597.9,509.7,559.68,550,559.83,548.67,545.24,485.71,485.21,466.66,476.19,482.05,500,515.56,522.92,533.33,537.25,541.67
Wheat flour: prepacked (golden penny 2kg) BENUE,550,550,525,557.5,525,537.5,587.5,537.5,550,536.87,575,607.5,627.28,630,665.67,647.22,678.25,670,640,691.66,611.24,671,671,657.14,680,642.86,635.71,613.33,582.5,605,620,637.5,625,607.89,654.67,570,600,591.67,602.16,595.33,570,633.33,600,590.38,606.67,600.64,585,557.14,560.67,600.15,683.33,689.75
Yam tuber BENUE,145.86,146.08,130.42,137.92,191.03,155.37,191.27,147.78,193.04,157.23,129.89,130.95,161.91,154.71,213.15,222.11,253.59,277.09,252.12,262.8,224.37,203.62,185.88,179.24,202.06,209.2,278.54,319.35,326.28,369.89,357.18,392.86,379.87,342.88,203.45,198.85,170.34,203.87,208.63,317.57,312.98,251.43,220.86,218.15,197.97,138.94,208.64,184.01,185.93,168.63,187.97,144.34
Agric eggs medium size BAUCHI,250.21,300,325,291.67,358,285,290.03,360.7,360,359.3,358.6,357.9,357.2,434,434.29,524.17,564,536.33,498,453.33,453,449.5,450.5,456.43,427.14,475.27,475.91,500.25,485,498.71,432.86,450,420,427.14,430,437.14,460,438,440.6,461.82,463.33,485,427.5,454.44,446,454.44,435,434.81,443.85,410,450,447.69
Agric eggs(medium size price of one)BAUCHI,30,30.42,29.38,30,30,37,30,32.5,30,40.57,37.08,40.56,47.8,48.04,48.23,44.64,48.64,45.75,42.5,40,41.02,39.09,39.29,39.39,38.44,37.92,37.38,37.92,36.82,39.29,37.86,38.5,39.38,38.44,37.92,37.86,40,38.69,38.84,40.09,40.18,39.17,37.27,38.18,39.09,39.09,38.18,37.2,38.47,38.22,41,40
"Beans brown,sold looseBAUCHI",230,196.43,172.41,819.25,229.63,239.29,264.25,259.62,270.09,286.7,317.71,339.13,215.47,220.58,295.58,306.15,300.74,330.47,323.11,351.95,384.62,355,323,317.47,322.98,343.26,325.23,289.6,316.61,295.19,278.71,250.19,294,298.98,310.13,304.05,278.57,280,281.03,292.42,281.9,279.63,255.31,239.5,287.37,251.9,258.57,266.9,248.04,225,187.46,196.33
Beans:white black eye. sold looseBAUCHI,226.27,180.32,183.31,258.23,189.44,225,239.93,235.22,203.01,212.68,226.99,260.68,213.68,219.09,240.44,275.97,261.41,294.85,293.74,309.03,300.24,297.7,290.54,277.15,295.8,301.99,277.59,289.6,295.26,283.74,299.21,294.65,319.8,279.8,324.4,300.21,264.84,271.27,268.15,274.49,280,275.71,237.51,202.79,241.39,222.25,224.04,238.35,237.93,224.56,212.4,218.46
Beef Bone inBAUCHI,839.77,746.21,803.2,822,855,800,904.33,850,750,909.79,970.83,980.83,995.37,993.04,896.11,1026.28,1113.1,1041.54,1077.32,996.15,969.64,948.15,1000,1025,916.67,902.5,958.25,872.22,900,887.5,900,1000,985,916.67,966.67,1009.88,953.51,1000,1002.88,950,942.86,897.43,853.33,900,994.56,983.33,941.96,935.23,925.64,946.54,944.44,950
"Beef,bonelessBAUCHI",844.83,860,869.56,879.12,946.02,969.7,950,930.24,971.43,971,900.21,911.58,920.19,1191.67,984.09,1195.83,1239.51,1284.42,1261.96,1112.5,1210,1164.29,1066.67,1063.33,1109.19,1181.82,1215,1170.91,1190,1121.43,1184.62,1148.18,1200,1209.19,1230,1284.62,1220,1188.89,1180,1176,1201.58,1173,1150,1108.33,1212.5,1215.7,1211.43,1194.91,1203.85,1216.19,1185.71,1214.29
Bread sliced 500gBAUCHI,144.17,205,173.33,173.09,250,268,270.09,272.18,278.67,280,281.33,284,283.99,278.33,280.83,275,287.5,284.62,286.06,243.75,302.22,295,270,256.67,280,278.75,253.08,291.67,300,298.89,292,296.67,285.71,270,254.55,230,238.89,230,231.25,226.54,230,225.56,227.5,268.75,243.33,270,278.18,274.5,271.11,267.78,238.33,238.57
Bread unsliced 500gBAUCHI,145,147,166,187,199.3,206.17,226.37,266.67,250,258.12,266.25,274.37,282.5,261.67,268.46,260.91,293,266.92,279.96,290.91,295,295,268,250,253.57,254,257,250,267.78,257.27,268.89,270,251,243.57,241.67,233.33,210,202,214.55,214.67,225.56,225.45,202.3,242,216,238.75,244.62,242.17,240,251.54,262.5,226
Broken Rice (Ofada)BAUCHI,138.33,143.45,155.64,156.36,203,223.08,207.14,274.98,223.53,262.57,280,282.8,285.6,274.32,284.7,291.63,330.73,395.33,363.03,288.21,307.62,298.09,298.79,297.36,301.21,323.46,329.1,341.18,321.46,305.17,350,341.38,343.09,321.21,335.56,333.33,306.67,317.36,308.66,302.17,296.99,299.45,254.06,288.79,315.11,327.99,379.38,377.39,389.29,380,345,357.7
Catfish (obokun) freshBAUCHI,769.23,803.57,825,822.95,820.9,818.85,818.18,825,850,994.39,900,977.78,1005.97,1125,975,957.54,920.12,892.71,885.29,950,939.55,920.56,920.56,920.46,1000,833.33,833.33,800,795.38,800,850,815.24,903,900,1075,1200,1175,1160,1200,1250,1200,1126.67,1100.33,1120,1143.41,1200,1225,1239.43,1191.86,1158.26,1125.88,1107.89
Catfish :driedBAUCHI,2083.33,2251.11,2100,2103.12,2106.24,2109.36,2112.48,2115.6,2118.72,2165.74,2041.67,1917.59,1998.82,1992.76,1986.7,1980.64,1974.58,1968.52,2019.23,2000.15,1978.15,2050.11,2000.58,2000.29,2119.64,2045.8,2000,1800.77,1764.29,1698.57,1622.81,1528.57,1582.53,1419.64,1540,1651.5,1708.33,1690,1710.6,1787.5,1810,1797.44,1750,1762.2,1756.27,1810,1891.67,1904,1885.62,1850,1866.67,1814.29
Catfish SmokedBAUCHI,1817.5,1818.18,1818.86,1819.54,1820.22,1820.9,1821.58,1822.26,1822.94,1923.18,1862.5,1822.94,1783.38,1743.82,1704.26,1833.34,1830,1826.67,1823.33,1820.05,1800.03,1800,1750,1750,1700,1940.84,1923.74,1875,1758,1769.21,1765.76,1685.83,1709.41,1600,1617.78,1650.56,1647.65,1640.78,1620.73982,1622.04,1623.01,1599.03,1560,1567.8,1540.24,1554.1,1583.25,1600.22,1602.37,1560.23,1540,1498.48
Chicken FeetBAUCHI,245,248.5,252,255.5,259,262.5,266,250,251.06,252.12,253.18,254.24,255.3,280.56,300,350,350,350,350,405.56,405.76,405.76,405.76,404.29,350,400,400,350,375,350,375,380,381.9,350,385,300,300.63,305.82,312.8,312.95,313.14,302.3,300,326,330.21,333.18,400,400.58,402.38,400.15,390,350
Chicken WingsBAUCHI,500,5000,475,476.11,477.22,478.33,479.44,480.55,450,453.8,457.6,461.4,481.18,575,470,557.14,550,555,552.5,495,495.25,550,550,550.5,575,450,400,473.86,485.29,500,500.55,550.19,552.94,575,583.33,550,500,539,542.57,542.84,543.17,536.21,525,575,589.31,594.61,650,670,670.53,666.89,635,650
Dried Fish SardineBAUCHI,1494.3,1500,1525,1546.82,1553.64,1592.31,1600,1636.37,1583.33,1681.65,1680.44,1681.86,1655.62,1730.56,1762.69,1753.09,1764.58,1750,1741.67,1700.89,1692.96,1650,1650,1557.89,1590.06,1436.11,1567.904732,1334.9,1250,1300,1314.29,1300.42,1285.57,1190.06,1200.53,1230,1200.85,1252.71,1255.95,1256.83,1266.88,1285.02,1300.02,1306.5201,1320.15,1332.03,1450,1450.58,1453.51,1383.33,1355,1360.23
Evaporated tinned milk carnation 170gBAUCHI,120.5,120,130,125,135,120.24,120,125.25,130.5,135.87,130,135.32,136.82,145.33,140,170,170,176.67,173.33,169.33,169.41,169.5,170.33,175,180,170,150,160,150,155,150,147,140,150,168.57,155,150,147.33,150.07,158,160,138,155,152,136.67,140,145,142,145,140,160,165
"Evaporated tinned milk(peak), 170gBAUCHI",142.5,141.25,139,136.33,136,145,135,142.5,139.5,141.28,149.17,149,149.32,148.75,151.43,194.17,198,190.76,192,192.86,203,199.09,200.01,200.46,200,190,189.17,191,186.67,184.62,187.14,176.67,181.43,196,197.5,187.14,181.82,176.67,179.09,181.82,171.82,179.67,186.67,182.72,162,171.82,173.82,170.7,171.69,170,179.17,180.17
Frozen chickenBAUCHI,1151.2,1100,1250,1250.9,1210,1252.7,1253,1254.51,1120,1256.31,1257.21,1258.11,1156.77,1350,1566.67,1500,1550,1725,1750,1980.9,1981.89,2050.2,1850.36,1800,1805,1800,1700,1500,1505.87,1500,1525,1480,1487.4,1485,1500,1500,1513.03,1498.8,1500.26,1550,1500,1550,1570,1600.48,1850,1900,1950.26,1925,1900.58,1850,1790,1766.67
"Gari white,sold looseBAUCHI",138.33,136.27,148.29,341.23,175.45,153.41,167.5,121.17,158.89,139.33,238.57,245.66,176.58,216.6,239.9,315.99,325.61,330.47,335.79,338.8,338.97,328.76,325.12,321.65,308.97,303.27,287.99,279.31,299.05,281.53,175.49,186.87,126.67,148.97,155.39,158.33,136.29,146.1,143.33,140.41,152.72,136.45,166.7,150.69,152.88,152.72,159.45,155.68,143.17,147.54,149.45,167.16
"Gari yellow,sold looseBAUCHI",154.08,139.99,168.22,370.84,202.95,141.86,156.01,134.72,188.33,185.68,244.91,250.45,214.7,206.71,266.74,331.4,334.86,355.42,349.41,365.53,346.59,338.5,311.54,311.82,330.62,328.17,329.54,295.65,284.2,282.51,208.8,213.51,194.07,196.62,215.53,165.43,170.68,177.31,185.4,176.65,183,141.44,149.32,159.29,168.61,173,180.71,178.73,165.33,160.23,148.22,166.9
"Groundnut oil: 1 bottle, specify bottleBAUCHI",320.55,300,311.45,328.9,356,386.67,404.97,412.66,390.47,400,400,414.99,445,446.66,501.11,493.66,466.89,440.55,436.51,433.18,438.15,441.21,450.15,451.52,465.21,574.55,576.11,502.67,521.21,595.24,519.67,495.56,518.33,521.21,658.18,542.22,555.56,529.11,502.67,493.33,502.86,482.22,489.52,466.66,507.88,502.86,489.23,491.67,495.79,451.67,468.72,460.13
Iced SardineBAUCHI,779.41,743.33,738.99,736.39,739.27,724.87,737.5,732.14,780.11,776.46,747.06,798.53,771.26,778.17,784.51,779.04,766.74,767.12,797.73,779.29,780,866.11,800,800.01,855.56,864.29,887.5,807.14,844.29,800.58,878.89,825,950,855.56,889,766.67,807.86,788.75,801.01,887.5,920,900,944.44,937.5,980,989.29,1016.67,979.44,984.55,962.5,911.11,915.56
Irish potatoBAUCHI,129.39,131.62,135.36,139.67,135.7,136.9,131.98,131.01,131.19,140.09,149.79,143.33,141.07,138.1,141.93,141.49,153.37,155.07,155.24,149.08,145.78,150.45,141.4,141.77,185.85,220.48,260.26,257.3,240,232.24,206.36,197.83,150.72,235.85,319.35,329.58,294.47,273.02,261.08,272.59,300,275.33,239.42,253.42,248.24,190.39,204.73,229.62,235.03,200.19,197.05,206
Mackerel : frozenBAUCHI,890,916.67,915,913.34,890.11,933.33,915,913.34,890,988.94,915,913.34,911.67,925,1000,958.33,884.12,950,1000,950,939.55,1000,998.24,950,980,869.7,958.44,950,950,951.45,1000,1000,950,950,900,1000,980,1000,1002.86,1050,1000,988.89,950,1000.33,987.37,1000,1100,1120,1125.86,1100.25,1095.28,1083.33
Maize grain white sold looseBAUCHI,75.78,74.34,82.2,90.02,85,90.9,106.86,115.66,125.78,117.42,105.71,123.65,134.69,133.59,140.25,147.84,153.1,151.66,154.37,155.28,130.56,151.88,142.36,142.53,168.06,180.43,179.29,104.72,115.24,113.28,106.51,110.72,121.62,98.06,87.17,106.51,97,93.22,78.81,88.26,73.12,83.69,94.39,80.05,72.7,73.12,77.97,80.39,73.91,89.28,89.95,94.6
Maize grain yellow sold looseBAUCHI,72.94,75.42,76.63,82.33,81.45,90.77,101.27,113.24,127.4,131.2,125.6,130.65,140.06,132.88,136.93,145.58,161.24,152.88,154.97,154.98,136.46,153.1,150.45,150.08,175.5,189.71,174.63,111.43,106.31,105.07,106.8,109.6,101.14,98.5,93.09,106.8,96.2,98.15,78.7,88.03,76.35,82.81,92.18,78.45,73.55,76.35,77.14,81.22,75.21,90.48,91.6,93.42
Mudfish (aro) freshBAUCHI,701.82,787.5,713.77,715,850.97,809.5,887.8,860.15,876.88,843.31,910.83,925.32,929.16,850.09,882.08,826.67,915,914.4,914.7,885,838.58,800.83,800.75,800.59,897.68,844.44,835.05,950.79,893.64,875,805.88,790,793.95,897.68,894.81,1002.5,936.54,891.21,900.43,1000,1015.3,978.33,930,901.66,873.33,841.67,875,852.38,891.18,833.33,857.14,820.29
Mudfish : driedBAUCHI,1339.21,1525,1507.61,1832.34,1908.64,1340.91,1418.69,1844.01,1656.45,1478.6,1199.48,1416.34,1915.27,2169.05,2238.31,2249.65,2280.42,2285.79,2283.1,1890.16,1891.11,1684.58,1602.05,1522.41,1685.12,1717.41,1608.41,1427.84,1436.05,1443.94,1495.89,1500.8,1650,1685.12,1522.52,1595.8,1533.28,1571.21,1553.58,1616.25,1580.67,1517.26,1487.5,1449.19,1515.31,1495.83,1525.2,1498.62,1500.63,1442.51,1469.64,1437.39
Onion bulbBAUCHI,171.45,195.83,110.48,247.62,141.67,213.33,122.5,157.09,190.22,191.52,223.13,230.63,241.11,181.08,167.82,155.69,150.4,151.58,144.7,142.29,140.56,145.09,134.37,131.75,126.97,129.92,171.38,157.42,151.59,152.54,143.56,134.88,177.88,126.97,142.54,147.07,157.58,143.51,128.44,106.8,130,129.02,94.67,125.7,130.1,115.74,99.96,130.16,135.42,114.34,115.45,118.19
"Palm oil: 1 bottle,specify bottleBAUCHI",281.11,307.77,289.37,303.33,325.33,333.33,344.99,370.23,380.44,408.44,411.11,433.33,429.37,451,495,497.22,474.82,512.38,522.85,518.94,440.65,513.14,480.55,480,450.2,511.11,514.13,503.03,480,488.57,485.71,493.33,510.42,520.2,501.11,485.71,506.67,497.5,495.76,469.09,483.34,492.12,449.33,441.21,447.27,483.34,453.33,455.38,443.64,458.18,448.21,443.33
Plantain(ripe)BAUCHI,230.26,210,234.37,253.84,271.42,270,265.99,252.14,291.66,293.16,304.44,312.16,290.14,285.71,270.24,230.12,258.56,250,283.33,306.37,280.73,250.37,250.8,259.26,288.44,286.21,315,300,272.73,250,206.67,228.57,212.96,228.44,308.15,280,290.39,303.97,343.14,300,302.1,270,222.22,230.87,255.56,214.29,263.64,241.67,225.16,200.13,207.77,209.82
Plantain(unripe)BAUCHI,181.82,138.89,157.14,183.03,173.33,163.64,174.28,178.31,182.42,205.14,200,165.75,173.52,203.87,205.27,227.63,218.44,203.57,190,208.15,197.05,203.87,208.11,211.72,209.23,220,266.67,200,240,200,190.85,216.67,201.79,179.23,212.73,200.85,222.22,242.65,236.11,227.86,250,200,222.22,215.71,224.66,226.68,220,233.33,202.22,199.03,214.81,228.57
Rice agric sold looseBAUCHI,166.18,185.19,214.78,471.25,262.5,267.86,266.41,283.37,246.51,338.31,346.96,350.12,303.6,317.03,327.89,309.07,310.42,328.24,314.64,325.87,326.03,313.61,303.61,294.86,302.85,290.32,270.1,251.24,287.05,290.02,270.77,258.57,310,282.85,278.27,270.77,268.55,285.75,292.18,271.97,246.64,263.55,258.68,265.22,283.14,296.64,382.61,395.86,392.03,364.13,378.05,332.75
Rice local sold looseBAUCHI,137.49,146.69,164.24,332.15,167.19,233.5,225.75,245.55,211.54,241.16,219.59,260.72,275.57,256.5,270.84,275.35,273.55,263.64,273.77,279.44,279.58,268.77,268.77,260.21,280.69,288.39,267.9,217.13,211.36,216.03,204.11,211.84,250.31,220.69,211.08,224.11,213.52,230.85,231.37,241.44,238.2,220.17,223.22,230.28,240.54,254.2,321.42,325.22,315.87,325.13,325.22,331.88
Rice Medium GrainedBAUCHI,174.44,173.88,177.28,510.56,175,296.3,234.98,303.57,310.34,278.89,303.17,392.86,246.92,315.27,319.54,290.05,290.76,295.72,275.78,290.49,309.26,299.09,285.77,278.28,274.11,255.36,276.46,333.74,308.07,294.48,308.74,300.86,303.27,298.11,230.47,308.74,311.22,302.07,312.42,301.07,293.34,256.49,243.97,261.03,263.9,283.34,249.14,268.33,263.29,272.22,316.03,313.79
"Rice,imported high quality sold looseBAUCHI",211.18,232.8,267.56,385.53,325,331.85,316.71,347.02,261.32,364.54,404.81,421,421.81,346.91,394.43,363.43,371.44,370.74,323.63,383.5,383.69,363.18,360.25,353.45,381.7,369.05,357.57,337.38,356.38,324.7,320.02,352.74,357.14,321.7,333.58,328.78,345.59,342,335.05,322.41,320.2,309.86,334.51,337.37,371.9,401.54,459.13,467.68,461.47,436.17,385.09,391.45
Sweet potatoBAUCHI,110.43,112.1,115.89,111.44,111.07,112.22,113.22,110.83,111.25,116.19,115.91,118.76,107.7,108.54,104.09,107.13,110.48,105.03,106.37,105.26,102.05,80.19,75.95,75.81,73.47,66.81,77.13,71.78,71.52,99.77,101.51,90.58,108.61,93.47,106.33,101.51,101.99,89.51,85.09,75.83,90,74.42,73.83,77.06,65.48,101.43,89.25,98.65,95.32,105.9,94.44,106.22
Tilapia fish (epiya) freshBAUCHI,740.94,746.67,741.67,740,746.3,752.61,752.85,752.9,755,757.25,760,765,761.39,767.5,758.75,751.25,753.93,750.3,750.51,750,750,700.25,700.25,680,687.41,600,627.16,550,550,526.46,500,550,553.85,547.41,651.28,600,558.33,550,582.49,599.41,600,566.67,520,560,525,500,750,780.67,765.34,721.33,756.32,748.5
Titus:frozenBAUCHI,627.5,622.22,620,622.49,623.5,621.58,593.06,568.5,565,564.77,565,630,622.51,620,620.08,619.17,622.61,636.67,602,601.67,600,610.44,610.44,610,735,900,950,866.67,886.36,860,900,915.33,984.77,950,920,900,843.75,910,912.76,933.33,950,900,898.34,900,1000,980.58,1025,986.48,944.29,900,950,914.6
TomatoBAUCHI,178.09,213.69,140.54,281.64,1250,258.01,238.89,195.67,155.4,185.17,122.4,228.97,160.59,197.15,145.09,248.29,263,262.65,266.58,272.92,222.19,200.55,205.12,202.07,185,181.09,170.99,185.69,205.52,232.72,205.3,199.58,219.17,187.6,185.33,174.66,162.73,165.74,107.24,104.21,110,105.96,103.38,125.1,169.2,168.71,141.08,150.93,131.43,112.62,96.28,125.11
"Vegetable oil:1 bottle,specify bottleBAUCHI",371.11,351.11,289.33,308.87,318.66,320,363.33,366.66,366.66,375.89,399.44,409.44,400,406.66,417.78,444.04,456.78,475.23,520.95,570.3,477.62,475.94,485.65,470,503.11,514.44,491.43,480,465.45,432.38,464.76,451.11,454.29,465.11,485.67,445.71,450.33,440,482.42,470.3,491.43,442.22,410,422.66,447.27,491.43,486.36,483.56,500,491.3,451.28,453.33
Wheat flour: prepacked (golden penny 2kg)BAUCHI,580,552.5,550,552.5,533.33,600,600,550,567.16,604.39,600,650,608.17,600,637.5,658.33,690.49,637.5,650,625,622.99,638.45,645.44,635,650,700,725,700,675,683.33,650,675,650,610,666.25,666.67,660,675,681.67,662.5,637.5,703.33,725,700,676,687.5,700,712.5,705,740,766.67,770.89
