ItemLabels,1/1/2016,2/1/2016,3/1/2016,4/1/2016,5/1/2016,6/1/2016,7/1/2016,8/1/2016,9/1/2016,10/1/2016,11/1/2016,12/1/2016,1/1/2017,2/1/2017,3/1/2017,4/1/2017,5/1/2017,6/1/2017,7/1/2017,8/1/2017,9/1/2017,10/1/2017,11/1/2017,12/1/2017,1/1/2018,2/1/2018,3/1/2018,4/1/2018,5/1/2018,6/1/2018,7/1/2018,8/1/2018,9/1/2018,10/1/2018,11/1/2018,12/1/2018,1/1/2019,2/1/2019,3/1/2019,4/1/2019,5/1/2019,6/1/2019,7/1/2019,8/1/2019,9/1/2019,10/1/2019,11/1/2019,12/1/2019,1/1/2020,2/1/2020,3/1/2020,4/1/2020
"Groundnut oil: 1 bottle, specify bottleANAMBRA",325,337.77,360,406.68,413.33,429.33,427.55,415.99,400,410.41,416.67,407.77,416.44,433.33,466.67,466.67,485.5,483.72,466.67,441.66,432.74,484.44,492,490.55,492.22,511.11,526,550,606.67,666.67,657.48,642.86,646.67,647.25,652.43,703.33,673.33,700,686.67,683.33,652.78,700,655.56,666.66,654.29,633.34,701.44,733.33,702.31,683.33,640,725
Iced SardineANAMBRA,682.94,780.97,727.27,663.33,741.76,715.08,862.22,944.44,976.19,758.67,1047.62,722.22,1275.49,1035.72,1163.53,1054.51,1028.62,1078.5,1053.58,986.49,892.22,981.19,954.51,942.86,977.19,1016.23,976.42,1031.82,936.67,980.26,1017.24,1071.43,1022.22,1000,1000,964.25,1000,1042.02,1172.27,1203.82,1192.78,1172.36,1125.49,1154.9,1088.89,1131.06,1138.98,1169.29,1166.67,1155.85,1106.06,1122.22
Irish potatoANAMBRA,208.57,207.55,209.88,209.05,204.17,202.61,206.25,213.85,203.86,208.81,206.67,206.94,205.93,200.54,207.48,201.5,203.9,200.52,201.11,200,194.2,177.14,173.9,171.5,157.63,163.64,287.3,305.26,345.24,357.27,356.6,380.29,329.44,362.86,350,400.43,395,400.7,383.38,401.04,462.66,431.43,377.29,396.03,354.76,342.64,418.75,418.97,367.2,359.52,350.2,407.34
Mackerel : frozenANAMBRA,760.73,840.53,799.84,777.92,750.53,739.7,770.96,751.79,877.8,891.64,908.27,880.51,1053.42,978.02,784.28,771.97,982.02,985,1095.23,1007.81,996.72,929.15,935.04,930.56,923.08,873.72,942.92,949.49,915.73,937.89,918.31,933.7,948.62,949.29,956.88,988.84,960.07,934.03,977.64,1019.3,931.29,977.7,942.65,908.63,915.45,918.17,990.47,964.06,1029.86,989.44,1017.47,1060.53
Maize grain white sold looseANAMBRA,109.77,116.96,135.55,140.21,137.06,152.92,157.23,160.99,209.91,230.29,241.61,221.62,247.17,216.33,236.12,245.04,244.79,283.62,252.16,255.25,232.17,284.04,271.21,270.73,268.81,246.61,245.21,247.31,243.89,246.03,240.02,246.15,244.07,244.29,246.25,249.79,247.51,236.22,241.36,243.33,231.41,236.36,232.53,215.55,211.4,221,214.21,243.75,245.74,234.87,241.87,248.79
Maize grain yellow sold looseANAMBRA,113.79,115.13,120.84,140.7,141.45,150.33,156.58,150.97,176.27,204.91,224.5,227.79,238.01,226.63,238.84,245.9,249.23,283.53,255.36,254.64,224.66,283.95,268.03,265.7,268.46,248.16,251.74,256.52,244.74,240.96,239.92,237.7,240.38,240.53,242.45,240.38,259.63,238.22,243.1,244.24,236.16,236.36,230,217.77,221.3,223.11,217.54,247.73,237.31,228.08,237.92,251.67
Mudfish (aro) freshANAMBRA,785.33,787.69,790.05,792.42,794.8,797.18,799.57,801.97,804.38,901.74,904.45,907.16,912.76,950.11,951.44,955,966.78,950.21,958.5,966.15,966.23,968,969,965.88,884.22,884.75,885.54,886.08,886.78,900.64,920.56,921.11,951.26,952.03,956.79,980.45,980.59,988.43,1000.83,1058.64,1064.99,1017.46,1002.16,1002.86,1006.25,1014.3,1021.4,1029.57,1016.85,1023.96,1050.5,1058.9
Mudfish : driedANAMBRA,2057.14,2222.22,1866.67,1866.7,1871.7,2222.22,1842.11,1966.67,1966.67,2375.91,2383.04,2390.18,2408.93,2345.78,2400,2420,2557.08,2590.32,3200,2666.67,2685.71,2666.67,2078.5,2066.67,1919.74,2148.15,2156.86,2120.58,2266.67,2318.52,2369.61,2400,2266.27,2268.09,2279.43,2404.76,2520.24,2433.33,2392.66,2183.53,2252.44,2215.52,2172.22,2200.66,2200.01,2257.95,2313.33,2333.33,2265.57,2296.46,2254.62,2190.18
Onion bulbANAMBRA,192.08,195.28,198.07,181.54,125.07,213.39,170.41,178.94,226.89,223.46,211.78,212.27,213.93,195.75,208.81,190.48,196.8,204.27,222.22,212.08,219.42,210.2,225.08,225.85,192.12,224.34,223.17,211.43,215.33,222.05,228.02,206.1,212.11,192.24,300,387.21,325.41,283.07,253.54,275.84,281.59,249.92,192.77,224.95,209.6,219.42,194.01,235.41,237.47,265.24,298.87,270.95
"Palm oil: 1 bottle,specify bottleANAMBRA",310.83,310.55,326.1,332.2,341.26,364.73,359.72,349.16,353.33,357.44,367.36,379.16,403.04,394.44,408.72,405.24,413.72,449.44,450.87,450,386.31,450.11,481.95,486.67,522.22,512.64,500.44,498.85,477.19,468.89,478.57,497.44,503.69,503.99,508.03,500.25,505.75,486.4,466.67,468,451.33,427.88,432.26,453.33,459.75,457.97,456.79,463.77,444.6,466.67,434.67,448.21
Plantain(ripe)ANAMBRA,192.01,203.4,216.59,205.18,219.58,238.26,265.66,267.9,255.88,254.18,288.78,262.2,270.44,241.75,227.34,215.99,237.57,235,238.34,245,249.56,235.35,245.49,243.85,263.16,190.21,193.88,190.63,198.93,198.51,218.74,238.66,258.04,220,200,250.23,234.22,221.04,197.8,251.72,235.35,266.27,245.71,237.49,298.67,238.1,216.23,212.04,246.37,244.94,231.7,264.58
Plantain(unripe)ANAMBRA,181.77,166.49,172.66,184.49,192.52,205.85,182.77,209.85,209.44,216.74,216,228.2,234.34,247.18,239.68,215.11,230.96,258.63,249.58,247.23,226.08,259.01,264.06,259.22,242.86,203.95,202.86,185.93,193.92,207.87,193.73,205.19,212.73,192.88,200,195.41,196.69,197.28,172.14,200.07,197.06,249.66,233.23,226.04,200.18,195.14,200.07,220.27,241.25,243.3,209.32,258.96
Rice agric sold looseANAMBRA,207.98,245.81,241.73,253.76,268.64,344.6,311.27,380.79,419.99,418.05,419.98,395.41,420.99,394.73,394.13,378.52,390.17,368.6,395.55,364.47,363.39,346.35,347.45,345.72,323.04,374.18,371.56,361.35,354.81,351.66,344.01,354.37,353.68,353.9,354.14,352.38,360,363.92,360.63,351.82,355.29,365,317.83,313.33,319.17,325,450.87,458,450.86,442.31,396.96,420.48
Rice local sold looseANAMBRA,152.2,174.76,212.3,203.97,217.73,277.8,266.4,322.97,348.29,304.3,320.54,328.9,332.01,383.7,351.87,319.6,339.91,305.47,320.85,306.22,301.9,300.44,289.18,280.06,261.33,259.68,288.24,265.45,267.41,263.31,270.28,260.24,270.26,270.42,272.61,278.74,264.64,280.89,276.57,269.66,262.64,268.18,284.59,262.5,258.52,269.62,400.77,398.5,323.41,319.7,268.87,304.08
Rice Medium GrainedANAMBRA,165.08,166.06,239.5,221.88,240.69,285.08,293.68,357.74,368.64,320.91,361.33,380,388.31,477.28,440,387.97,397.92,346.67,372.29,350.36,344.56,330,320,320.86,306.28,369.71,369.8,372,348.39,370,360,363.08,356.67,356.95,357.2,332,355.74,356,347.14,352.14,339.17,353.33,320,304,344,350.32,426,436.67,420.14,416.67,398,420
"Rice,imported high quality sold looseANAMBRA",208.81,213.88,278.37,291.44,325.88,380.85,343.61,397.82,474.11,465.16,470.45,488.72,495.21,444.28,431.39,429.71,437.01,399.22,418.11,391.9,385.66,357.78,357.29,350.93,346.98,408.39,403.84,411.71,401.44,399.13,397.67,390.79,395.99,396.31,398.59,397.16,401.84,406.5,400.05,385.16,388.8,392.73,375.88,362.66,384.44,417.6,497.14,506.36,495.27,501.33,473.33,523.2
Sweet potatoANAMBRA,105.24,105.37,108.22,107.69,106.06,107.7,113.46,111.54,119.01,116.47,113.62,114.18,117.52,117.2,117.78,115.03,111.29,114.29,116.28,114.91,110.92,113.95,117.68,119.3,105.25,119.92,147.26,157.25,155.33,153.15,151.63,153.77,176.1,155,120,125.91,122.85,138.57,168.6,165.42,170.02,198.88,171.09,154.92,171.61,132.97,107.06,136.89,144.2,146.55,159.29,160.49
Tilapia fish (epiya) freshANAMBRA,680.77,682.2,683.63,685.07,686.51,687.95,689.39,690.84,692.29,690.01,691.67,693.34,693.83,694.3,689.09,695.92,698.01,702.03,709.09,703.48,702.09,714.55,710,710,709.2,800,907.46,960,1000,934.78,1000,1000.6,1090.91,1091.45,1102.44,1043.48,983.08,927.49,930.96,931.52,937.11,912.5,881.59,882.38,836.01,842.69,848.59,863.16,869.57,875.65,850.5,857.3
Titus:frozenANAMBRA,638.43,634.98,653.59,639.79,649.48,656.07,657.91,653.06,659.93,630.05,643.3,649.42,659.5,651.75,652.7,651.92,642.79,655.71,658.83,657.45,652.17,719.9,727.53,725.94,828.57,927.19,1015.74,961.53,937.72,921.85,941.48,986,974.02,974.51,950,984.19,1005.69,1010.72,967.69,973.05,961.07,942.59,884.88,912.94,900.25,970.88,952.01,959.63,900.07,884.92,903.57,975.83
TomatoANAMBRA,237.48,222.11,230.99,299.49,811.9,790.32,727.25,301.41,327.9,341.38,325.13,301.06,325.67,298.62,335.95,330.09,383.6,422.82,516.5,432.3,348.18,334.67,336.62,323.73,218.24,301.58,295.87,344.32,347.21,361.51,377.28,375.63,253.35,303.55,253.76,329.92,292.48,285.91,260.86,277.73,279.24,236.46,200.66,250.28,250.27,306.62,349.64,357.26,301.12,293.17,308.18,326.34
"Vegetable oil:1 bottle,specify bottleANAMBRA",307.87,317.27,282.12,293.88,302.85,310.63,305.35,316.81,323.28,336.85,374.44,375.12,384.84,394.92,405.13,436.78,454.1,464.73,459.39,448.31,385.21,465.42,469.67,465.51,485,548.39,551.43,545.68,531.93,533.33,517.78,512.59,528.72,528.98,529.46,539.49,525.4,517.22,524.44,555.11,543.07,497.22,525.52,514.28,490.77,478.26,488.89,500.67,515.56,495.17,517.33,533.33
Wheat flour: prepacked (golden penny 2kg)ANAMBRA,565,519.79,593.75,520.83,528.09,532.08,604.76,623.8,650,703.61,696.42,678.12,706.4,700,700,678.88,646.08,640.87,653.12,658.33,689.27,641.83,658.73,657,675,705,741.67,712.5,740,730,715,702.22,709.09,720.83,731.67,745.83,731.82,750,755.33,758.89,747.5,750,725,735.71,730,727.27,730,735.62,755,754.55,763.64,766.67
Yam tuberANAMBRA,111.58,121.41,128.21,166.89,176.47,230.93,146.47,159.47,199.15,165.52,161.16,161.47,169.99,201.4,218.41,218.57,245.15,234.23,238.38,230.82,213.64,194.29,192.49,190.04,182.1,141.57,187.03,196.34,218.14,230.26,220.47,235.55,198.36,186.46,176.59,178.91,164.73,154.66,130.5,163.93,165.17,149.71,177,176.27,209.63,189.41,200.34,212.17,197.46,189.91,143.51,192.89
